gain,snr1s_raw,snr1s_std,readN_e,K,fullwell_e,oetf_r2,emin_ms,emax_ms
1.0,nan,nan,nan,nan,nan,0.9948055278721623,0.4787,71.8
2.0,1.0299672524334107,3.9958651980948896,11.424244631589128,1.3652426564490783,5252.306938184635,0.9999291609879787,0.2377,35.648
4.0,0.9664336227189054,3.7493798663670717,10.500752165182774,0.6730665156852962,2558.0337152520033,0.9992157242911079,0.1175,17.628
8.0,1.012067293925038,3.92642044528167,9.985889830195818,0.31814762458412105,1178.9427905972743,0.9935544145219665,0.0695,10.432
16.0,1.0418119271930273,4.041817847116383,10.138454908626008,0.1654048193794864,581.7388394516358,0.9846944707279864,0.05,4.942
31.622,1.2481159148028989,4.842195647838531,12.578737744959403,0.10063731549893347,315.7532003212617,0.9375974243138303,0.1032,15.479
